mean_base,std_base,n_base,epoch,mean_asc,std_asc,n_asc,diff,rel_impr_%
4.29682181710351,0.02723003205307589,3,1,4.25582775507816,0.0251506891334041,3,0.04099406202534972,0.9540554337667146
4.041170165550294,0.02439744883651377,3,2,4.015899998234282,0.020223727067647426,3,0.025270167316011616,0.6253180707764264
3.9702771962591648,0.016448020673093033,3,3,3.945721389450236,0.010837641351426062,3,0.02455580680892888,0.6184909918145164
3.9267486908170386,0.010555760805338165,3,4,3.900474435697084,0.004696008180296503,3,0.026274255119954404,0.6691096677869528
3.896469423230902,0.006325874779893559,3,5,3.8687306991887582,0.0032901580365448497,3,0.027738724042143836,0.7118937948483436
3.873753208986315,0.0030028607516653237,3,6,3.8456911624102847,0.0036067848724404368,3,0.028062046576030397,0.7244149294521961
3.856154410726795,0.001254473098665336,3,7,3.828861341398674,0.0035919957100176703,3,0.02729306932812081,0.7077794720096986
3.842104866096394,0.0016487584866498625,3,8,3.815947469964284,0.003398322209625735,3,0.02615739613211021,0.6808090107828397
3.830792383259675,0.0020257313987809573,3,9,3.805979093272945,0.0030916779975454,3,0.024813289986729714,0.6477325708164778
3.821677224849143,0.00210440671620091,3,10,3.797947501080824,0.0026068165241284573,3,0.023729723768318944,0.6209243317050579
